DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
18-07-2025,EQ,"2,400.60",2405.00,"2,372.30","2,398.90","2,380.00","2,382.40","2,384.68","3,394.90","2,124.75",599552.00,"1,42,97,40,039.30",89418
17-07-2025,EQ,"2,404.10",2414.00,"2,394.00","2,410.50","2,398.30","2,398.90","2,402.73","3,394.90","2,124.75",526164.00,"1,26,42,29,735.30",50280
16-07-2025,EQ,"2,381.00",2422.40,"2,371.00","2,393.50","2,403.00","2,410.50","2,405.09","3,394.90","2,124.75",1200913.00,"2,88,83,01,085.20",72926
15-07-2025,EQ,"2,409.90",2415.00,"2,386.30","2,401.60","2,396.00","2,393.50","2,396.48","3,394.90","2,124.75",610228.00,"1,46,23,97,463.30",58145
14-07-2025,EQ,"2,431.10",2448.60,"2,391.00","2,439.20","2,404.80","2,401.60","2,406.44","3,394.90","2,124.75",891624.00,"2,14,56,38,312.60",56494
11-07-2025,EQ,"2,447.50",2484.80,"2,435.50","2,451.20","2,439.00","2,439.20","2,456.51","3,394.90","2,124.75",1050466.00,"2,58,04,76,380.10",81854
10-07-2025,EQ,"2,507.30",2512.00,"2,445.10","2,498.90","2,447.50","2,451.20","2,474.60","3,394.90","2,124.75",932978.00,"2,30,87,43,113.10",61536
09-07-2025,EQ,"2,520.50",2535.00,"2,492.90","2,484.60","2,497.30","2,498.90","2,510.99","3,394.90","2,124.75",2328785.00,"5,84,75,45,663.90",119059
08-07-2025,EQ,"2,440.50",2488.00,"2,437.30","2,442.80","2,487.90","2,484.60","2,468.93","3,394.90","2,124.75",1136367.00,"2,80,56,13,212.20",70976
07-07-2025,EQ,"2,423.30",2465.10,"2,421.00","2,424.20","2,448.00","2,442.80","2,445.69","3,394.90","2,124.75",869054.00,"2,12,54,38,016.90",65276
04-07-2025,EQ,"2,430.90",2443.00,"2,412.00","2,430.90","2,428.00","2,424.20","2,424.40","3,394.90","2,124.75",602320.00,"1,46,02,65,353.90",45164
03-07-2025,EQ,"2,428.90",2464.40,"2,425.00","2,419.40","2,430.50","2,430.90","2,444.49","3,394.90","2,124.75",1547489.00,"3,78,28,22,817.80",90059
02-07-2025,EQ,"2,340.00",2430.00,"2,327.00","2,369.50","2,426.30","2,419.40","2,385.77","3,394.90","2,124.75",1936060.00,"4,61,89,93,872.20",83746
01-07-2025,EQ,"2,380.50",2400.00,"2,350.20","2,341.10","2,370.10","2,369.50","2,372.28","3,394.90","2,124.75",1232160.00,"2,92,30,27,853.10",78111
30-06-2025,EQ,"2,362.00",2369.90,"2,326.10","2,358.70","2,341.90","2,341.10","2,341.18","3,394.90","2,124.75",785414.00,"1,83,87,97,546.00",63584
27-06-2025,EQ,"2,283.00",2364.50,"2,277.10","2,289.80","2,362.00","2,358.70","2,335.40","3,394.90","2,124.75",1555259.00,"3,63,21,56,218.30",80723
26-06-2025,EQ,"2,287.00",2292.60,"2,280.20","2,279.90","2,285.60","2,289.80","2,287.73","3,394.90","2,124.75",921519.00,"2,10,81,87,443.90",55025
25-06-2025,EQ,"2,276.10",2294.30,"2,275.40","2,275.30","2,280.00","2,279.90","2,281.51","3,394.90","2,124.75",807391.00,"1,84,20,73,400.20",36233
24-06-2025,EQ,"2,305.00",2309.70,"2,268.90","2,264.10","2,277.00","2,275.30","2,285.84","3,394.90","2,124.75",1044179.00,"2,38,68,26,686.10",68456
23-06-2025,EQ,"2,261.20",2272.80,"2,253.90","2,285.70","2,264.00","2,264.10","2,263.57","3,394.90","2,124.75",596186.00,"1,34,95,08,429.40",46126
20-06-2025,EQ,"2,267.00",2289.90,"2,263.00","2,268.00","2,279.50","2,285.70","2,283.48","3,394.90","2,124.75",1945030.00,"4,44,14,32,827.30",50866
19-06-2025,EQ,"2,270.00",2285.00,"2,264.00","2,281.40","2,266.70","2,268.00","2,275.72","3,394.90","2,124.75",524936.00,"1,19,46,09,089.70",37899
18-06-2025,EQ,"2,257.00",2284.00,"2,255.00","2,264.80","2,277.80","2,281.40","2,273.14","3,394.90","2,124.75",1131156.00,"2,57,12,76,672.00",52509
17-06-2025,EQ,"2,231.00",2281.00,"2,227.00","2,244.80","2,264.00","2,264.80","2,264.49","3,394.90","2,124.75",1540986.00,"3,48,95,41,462.20",60073
16-06-2025,EQ,"2,214.20",2250.00,"2,209.30","2,214.20","2,241.00","2,244.80","2,233.86","3,394.90","2,124.75",1301826.00,"2,90,80,99,540.00",61568
13-06-2025,EQ,"2,175.00",2217.10,"2,174.80","2,219.40","2,216.60","2,214.20","2,202.96","3,394.90","2,124.75",1786808.00,"3,93,62,59,598.60",84761
12-06-2025,EQ,"2,224.00",2263.00,"2,208.10","2,208.80","2,225.00","2,219.40","2,237.04","3,394.90","2,124.75",3417375.00,"7,64,48,03,902.00",138345
11-06-2025,EQ,"2,209.00",2225.90,"2,207.20","2,218.90","2,207.60","2,208.80","2,214.30","3,394.90","2,124.75",1431027.00,"3,16,87,20,833.50",57088
10-06-2025,EQ,"2,240.00",2240.00,"2,215.20","2,247.90","2,217.90","2,218.90","2,222.99","3,394.90","2,124.75",1809078.00,"4,02,15,64,944.30",85274
09-06-2025,EQ,"2,240.00",2255.80,"2,236.00","2,245.20","2,251.00","2,247.90","2,246.94","3,394.90","2,124.75",1041859.00,"2,34,09,93,113.80",46288
06-06-2025,EQ,"2,249.10",2252.60,"2,239.00","2,243.50","2,245.20","2,245.20","2,244.85","3,394.90","2,124.75",822087.00,"1,84,54,64,870.70",36801
05-06-2025,EQ,"2,251.10",2261.00,"2,233.00","2,249.00","2,242.00","2,243.50","2,244.09","3,394.90","2,124.75",996615.00,"2,23,64,94,687.30",51385
04-06-2025,EQ,"2,249.50",2261.00,"2,240.90","2,255.70","2,251.00","2,249.00","2,248.65","3,394.90","2,124.75",768084.00,"1,72,71,51,815.70",36037
03-06-2025,EQ,"2,272.60",2287.30,"2,246.70","2,266.70","2,258.00","2,255.70","2,259.11","3,394.90","2,124.75",792587.00,"1,79,05,40,599.80",55680
02-06-2025,EQ,"2,259.10",2272.30,"2,257.90","2,259.10","2,268.50","2,266.70","2,265.52","3,394.90","2,124.75",702789.00,"1,59,21,80,294.90",41035
30-05-2025,EQ,"2,296.50",2304.00,"2,255.00","2,294.30","2,261.00","2,259.10","2,263.70","3,394.90","2,124.75",3610474.00,"8,17,30,46,111.50",82010
29-05-2025,EQ,"2,303.20",2309.00,"2,286.50","2,303.20","2,295.00","2,294.30","2,293.62","3,394.90","2,124.75",1414643.00,"3,24,46,58,118.70",58620
28-05-2025,EQ,"2,327.60",2333.00,"2,300.30","2,327.60","2,305.00","2,303.20","2,308.17","3,394.90","2,124.75",774808.00,"1,78,83,86,495.70",63744
27-05-2025,EQ,"2,313.10",2351.60,"2,301.10","2,327.20","2,327.50","2,327.60","2,332.79","3,394.90","2,124.75",2485428.00,"5,79,79,81,367.60",98440
26-05-2025,EQ,"2,316.00",2338.00,"2,302.80","2,315.50","2,325.60","2,327.20","2,318.72","3,394.90","2,124.75",1258062.00,"2,91,70,99,101.90",68731
23-05-2025,EQ,"2,301.80",2329.00,"2,295.00","2,299.20","2,315.00","2,315.50","2,316.37","3,394.90","2,124.75",458035.00,"1,06,09,77,681.90",33970
22-05-2025,EQ,"2,309.20",2310.00,"2,283.10","2,312.40","2,297.60","2,299.20","2,297.00","3,394.90","2,124.75",916504.00,"2,10,52,08,273.10",62407
21-05-2025,EQ,"2,296.00",2316.20,"2,290.00","2,295.60","2,308.30","2,312.40","2,307.71","3,394.90","2,124.75",469330.00,"1,08,30,76,347.70",41864
